Set,Slot,Tier,Category,Title,Alternates,Reject (X)
152,4,Hardest,Book,"Goodbye, Columbus",,X
153,1,Easy,TV,iCarly,,X
153,2,Medium,Movie,Milk,,
153,3,Hard,Movie,The Madness of King George,,
153,4,Hardest,Book,Revolutionary Road,,X
154,1,Easy,TV,Hannah Montana,,
154,2,Medium,Movie,Brokeback Mountain,,
154,3,Hard,Movie,The King's Speech,,
154,4,Hardest,Book,The Hours,,
155,1,Easy,TV,Wizards of Waverly Place,,X
155,2,Medium,Movie,Moonlight,,
155,3,Hard,Movie,Darkest Hour,,
155,4,Hardest,Book,Specimen Days,,X
156,1,Easy,TV,Victorious,,X
156,2,Medium,Movie,Green Book,,
156,3,Hard,Movie,Victoria & Abdul,,X
156,4,Hardest,Book,A Home at the End of the World,,X
157,1,Easy,TV,Drake & Josh,,
157,2,Medium,Movie,The Help,,
157,3,Hard,Movie,Mrs. Brown,,
157,4,Hardest,Book,Cloud Atlas,,X
158,1,Easy,Book,The Very Hungry Caterpillar,,
158,2,Medium,Movie,Twelve Years a Slave,12 Years a Slave,
158,3,Hard,Movie,The Queen,,
158,4,Hardest,Book,Ghostwritten,,X
159,1,Easy,Book,Where the Wild Things Are,,
159,2,Medium,Movie,Selma,,
159,3,Hard,Movie,Iris,,X
159,4,Hardest,Book,Number9Dream,,X
160,1,Easy,Book,The Cat in the Hat,,
160,2,Medium,Movie,Malcolm X,,
160,3,Hard,Movie,Diana,,
160,4,Hardest,Book,The Bone Clocks,,X
161,1,Easy,Book,Green Eggs and Ham,,
161,2,Medium,Movie,Do the Right Thing,,X
161,3,Hard,Movie,Spencer,,X
161,4,Hardest,Book,A Little Life,,X
162,1,Easy,Book,Goodnight Moon,,X
162,2,Medium,Movie,The Green Mile,,
162,3,Hard,Movie,Jackie,,X
162,4,Hardest,Book,The People in the Trees,,X
163,1,Easy,Book,The Gruffalo,,
163,2,Medium,Movie,A Few Good Men,,
163,3,Hard,Movie,Lincoln,,
163,4,Hardest,Book,To Paradise,,X
164,1,Easy,Book,James and the Giant Peach,,
164,2,Medium,Movie,12 Angry Men,,
164,3,Hard,Movie,Frost/Nixon,,
164,4,Hardest,Book,The Goldfinch,,X
165,1,Easy,Book,The BFG,,
165,2,Medium,Movie,Legally Blonde 2,,X
165,3,Hard,Movie,All the President's Men,,
165,4,Hardest,Book,The Secret History,,X
166,1,Easy,Book,Fantastic Mr Fox,,
166,2,Medium,Movie,The Devil's Advocate,,
166,3,Hard,Movie,Spotlight,,
166,4,Hardest,Book,The Little Friend,,X
167,1,Easy,Book,The Twits,,
167,2,Medium,TV,The Wire,,
167,3,Hard,Movie,The Post,,
167,4,Hardest,Book,Freedom,,X
168,1,Easy,TV,Home and Away,,
168,2,Medium,TV,Better Call Saul,,
168,3,Hard,Movie,"Good Night, and Good Luck",,
168,4,Hardest,Book,Purity,,X
169,1,Easy,TV,Neighbours,,
169,2,Medium,TV,Ozark,,
169,3,Hard,Movie,Network,,
169,4,Hardest,Book,Crossroads,,
170,1,Easy,TV,EastEnders,,
170,2,Medium,TV,Narcos,,
170,3,Hard,Movie,Broadcast News,,
170,4,Hardest,Book,The Marriage Plot,,X
171,1,Easy,TV,Coronation Street,,
171,2,Medium,TV,Fargo,,
171,3,Hard,Movie,Being There,,
171,4,Hardest,Book,Middlesex,,X
172,1,Easy,TV,Britain's Got Talent,,
172,2,Medium,TV,True Detective,,
172,3,Hard,Movie,The Candidate,,
172,4,Hardest,Book,The Virgin Suicides,,
173,1,Easy,TV,The X Factor,,
173,2,Medium,TV,Mindhunter,,X
173,3,Hard,Movie,Primary Colors,,
173,4,Hardest,Book,White Teeth,,X
174,1,Easy,TV,Strictly Come Dancing,,
174,2,Medium,TV,Dexter,,
174,3,Hard,Movie,Wag the Dog,,X
174,4,Hardest,Book,On Beauty,,X
175,1,Easy,TV,MasterChef,,
175,2,Medium,TV,Prison Break,,
175,3,Hard,Movie,Dr. Strangelove,Doctor Strangelove,
175,4,Hardest,Book,NW,,X
176,1,Easy,TV,Deal or No Deal,,
176,2,Medium,TV,24,Twenty Four,
176,3,Hard,Movie,Fail Safe,,X
176,4,Hardest,Book,Swing Time,,X
177,1,Easy,TV,Who Wants to Be a Millionaire,,
177,2,Medium,TV,Homeland,,
177,3,Hard,Movie,The Manchurian Candidate,,
177,4,Hardest,Book,Saturday,,X
178,1,Easy,Movie,Home Alone 2: Lost in New York,Home Alone 2,X
178,2,Medium,TV,The Blacklist,,X
178,3,Hard,Movie,Seven Days in May,,X
178,4,Hardest,Book,Enduring Love,,X
179,1,Easy,Movie,Elf,,
179,2,Medium,Movie,Sherlock Holmes,,
179,3,Hard,Movie,Three Days of the Condor,,X
179,4,Hardest,Book,Amsterdam,,
180,1,Easy,Movie,The Polar Express,,
180,2,Medium,TV,Poirot,Agatha Christie's Poirot,
180,3,Hard,Movie,Marathon Man,,
180,4,Hardest,Book,The Children Act,,
181,1,Easy,Movie,Rudolph the Red-Nosed Reindeer,,
181,2,Medium,TV,Miss Marple,,
181,3,Hard,Movie,The Parallax View,,X
181,4,Hardest,Book,Nutshell,,X
182,1,Easy,Movie,National Lampoon's Christmas Vacation,Christmas Vacation,
182,2,Medium,TV,"Murder, She Wrote",,
182,3,Hard,Movie,Klute,,X
182,4,Hardest,Book,Lessons,,X
183,1,Easy,Movie,Miracle on 34th Street,,
183,2,Medium,TV,Columbo,,
183,3,Hard,Movie,The French Connection,,
183,4,Hardest,Book,Solar,,X
184,1,Easy,Movie,It's a Wonderful Life,,
184,2,Medium,TV,Line of Duty,,
184,3,Hard,Movie,Serpico,,X
184,4,Hardest,Movie,Carmen,,X
185,1,Easy,Movie,White Christmas,,
185,2,Medium,TV,Broadchurch,,
185,3,Hard,Movie,Dog Day Afternoon,,
185,4,Hardest,Movie,The Magic Flute,,
186,1,Easy,Movie,A Charlie Brown Christmas,,
186,2,Medium,TV,Happy Valley,,X
186,3,Hard,Movie,Midnight Cowboy,,
186,4,Hardest,Movie,La Traviata,,X
187,1,Easy,Movie,The Grinch,How the Grinch Stole Christmas,
187,2,Medium,TV,Luther,,
187,3,Hard,Movie,The Last Picture Show,,
187,4,Hardest,Movie,Madama Butterfly,,
188,1,Easy,Movie,Grease 2,,X
188,2,Medium,TV,Killing Eve,,
188,3,Hard,Movie,Nashville,,X
188,4,Hardest,Movie,The Marriage of Figaro,,X
189,1,Easy,Movie,Dirty Dancing,,
189,2,Medium,TV,The Bridge,,
189,3,Hard,Movie,McCabe & Mrs. Miller,,X
189,4,Hardest,Movie,Tosca,,X
190,1,Easy,Movie,Footloose,,
190,2,Medium,TV,Wallander,,
190,3,Hard,Movie,Days of Heaven,,X
190,4,Hardest,Movie,Rigoletto,,X
191,1,Easy,Movie,Mamma Mia!,Mamma Mia,
191,2,Medium,TV,Midsomer Murders,,
191,3,Hard,Movie,Badlands,,
191,4,Hardest,Movie,The Barber of Seville,,
192,1,Easy,Movie,The Greatest Showman,,
192,2,Medium,TV,Vera,,X
192,3,Hard,Movie,Tree of Life,The Tree of Life,X
192,4,Hardest,Movie,Don Giovanni,,X
193,1,Easy,Movie,La La Land,,
193,2,Medium,TV,Endeavour,,
193,3,Hard,Movie,Phantom Thread,,X
193,4,Hardest,Movie,Aida,,X
194,1,Easy,Movie,Singin' in the Rain,,
194,2,Medium,TV,Call the Midwife,,
194,3,Hard,Movie,Punch-Drunk Love,,
194,4,Hardest,Movie,La Bohème,La Boheme,X
195,1,Easy,Movie,West Side Story,,
195,2,Medium,TV,Grey's Anatomy,,
195,3,Hard,Movie,A Prophet,,X
195,4,Hardest,Movie,Turandot,,X
196,1,Easy,Movie,Chicago,,
196,2,Medium,TV,ER,,
196,3,Hard,Movie,Rust and Bone,,X
196,4,Hardest,Movie,Swan Lake,,
197,1,Easy,Movie,Hairspray,,
197,2,Medium,TV,House,House M.D.,
197,3,Hard,Movie,Blue Is the Warmest Colour,,X
197,4,Hardest,Movie,The Nutcracker,,
198,1,Easy,Movie,The Sandlot,,X
198,2,Medium,TV,Scrubs,,
198,3,Hard,Movie,The Artist,,
198,4,Hardest,Movie,Giselle,,
199,1,Easy,Movie,Space Jam,,
199,2,Medium,TV,The Good Doctor,,
199,3,Hard,Movie,Hugo,,
199,4,Hardest,Movie,Coppélia,Coppelia,X
200,1,Easy,Movie,Rocky,,
200,2,Medium,TV,Chicago Fire,,X
200,3,Hard,Movie,The Diving Bell and the Butterfly,,X
200,4,Hardest,Book,Buddenbrooks,,X
201,1,Easy,Movie,The Fast and the Furious,Fast & Furious,
201,2,Medium,TV,NCIS,,
201,3,Hard,Movie,Persepolis,,X
201,4,Hardest,Book,The Magic Mountain,,X
202,1,Easy,Movie,Mission: Impossible,Mission Impossible,
202,2,Medium,TV,CSI,CSI: Crime Scene Investigation,
202,3,Hard,Movie,Waltz with Bashir,,
202,4,Hardest,Book,Doctor Faustus,,
203,1,Easy,Movie,James Bond: Skyfall,Skyfall,
203,2,Medium,TV,Criminal Minds,,
203,3,Hard,Movie,A Scanner Darkly,,
203,4,Hardest,Book,Steppenwolf,,X
204,1,Easy,Movie,James Bond: Goldfinger,Goldfinger,
204,2,Medium,TV,Law & Order,,
204,3,Hard,Movie,Waking Life,,X
204,4,Hardest,Book,Siddhartha,,X
205,1,Easy,Movie,Ocean's Eleven,,
205,2,Medium,TV,Suits,,
205,3,Hard,Movie,"Synecdoche, New York",,X
205,4,Hardest,Book,The Glass Bead Game,,X
206,1,Easy,Movie,The Wolf of Wall Street,,
206,2,Medium,TV,The Good Wife,,
206,3,Hard,Movie,I Heart Huckabees,,X
206,4,Hardest,Book,The Tin Drum,,X
207,1,Easy,Movie,Pretty Woman,,
207,2,Medium,TV,How to Get Away with Murder,,
207,3,Hard,Movie,The Master,,X
207,4,Hardest,Book,Cat and Mouse,,X
208,1,Easy,Movie,Notting Hill,,
208,2,Medium,TV,Boston Legal,,
208,3,Hard,Movie,Inherent Vice,,X
208,4,Hardest,Book,Dog Years,,X
209,1,Easy,Movie,Love Actually,,
209,2,Medium,TV,Ally McBeal,,
209,3,Hard,Movie,Under the Skin,,X
209,4,Hardest,Book,The Book of Disquiet,,X
210,1,Easy,Movie,Bridget Jones's Diary,Bridget Jones,
210,2,Medium,TV,Mad Men,,
210,3,Hard,Movie,Enemy,,X
210,4,Hardest,Book,Pedro Páramo,Pedro Paramo,X
211,1,Easy,Movie,27 Dresses,,X
211,2,Medium,TV,The West Wing,,
211,3,Hard,Movie,Nightcrawler,,
211,4,Hardest,Book,The Autumn of the Patriarch,,X
212,1,Easy,Movie,Mean Girls,,
212,2,Medium,TV,House of Cards,,
212,3,Hard,Movie,Drive,,X
212,4,Hardest,Book,The General in His Labyrinth,,X
213,1,Easy,Movie,Legally Blonde,,
213,2,Medium,TV,Veep,,
213,3,Hard,Movie,Only God Forgives,,X
213,4,Hardest,Book,Labyrinths,,X
214,1,Easy,Movie,Clueless,,
214,2,Medium,TV,Succession,,
214,3,Hard,Movie,Blue Velvet,,
214,4,Hardest,Book,Ficciones,,X
215,1,Easy,Movie,The Devil Wears Prada,,
215,2,Medium,TV,Billions,,X
215,3,Hard,Movie,Mulholland Drive,,
215,4,Hardest,Book,The Aleph,,X
216,1,Easy,Movie,Bring It On,,X
216,2,Medium,TV,This Is Us,,X
216,3,Hard,Movie,Lost Highway,,X
216,4,Hardest,Book,Hopscotch,,X
217,1,Easy,Movie,High School Musical,,
217,2,Medium,TV,Six Feet Under,,X
217,3,Hard,Movie,Eraserhead,,
217,4,Hardest,Book,The Savage Detectives,,X
218,1,Easy,Movie,Camp Rock,,X
218,2,Medium,TV,The Sopranos,,
218,3,Hard,Movie,The Elephant Man,,
218,4,Hardest,Book,2666,,X
219,1,Easy,Movie,Twilight,,
219,2,Medium,TV,Boardwalk Empire,,
219,3,Hard,TV,Twin Peaks,,X
219,4,Hardest,Book,The Feast of the Goat,,
220,1,Easy,Movie,Divergent,,
220,2,Medium,TV,Call My Agent!,,X
220,3,Hard,Movie,The Fisher King,,
220,4,Hardest,Book,Conversation in the Cathedral,,
221,1,Easy,Movie,The Maze Runner,,
221,2,Medium,TV,Money Heist,La Casa de Papel,X
221,3,Hard,Movie,Brazil,,
221,4,Hardest,Book,The Time of the Hero,,X
222,1,Easy,Movie,Percy Jackson & the Olympians: The Lightning Thief,Percy Jackson,
222,2,Medium,TV,Dark,,X
222,3,Hard,Movie,Twelve Monkeys,12 Monkeys,
222,4,Hardest,Book,Death and the Maiden,,X
223,1,Easy,Movie,Charlie's Angels,,
223,2,Medium,TV,Squid Game,,
223,3,Hard,Movie,Fear and Loathing in Las Vegas,,
223,4,Hardest,Book,The Idiot,,X
224,1,Easy,Movie,Now You See Me,,
224,2,Medium,TV,The Umbrella Academy,,
224,3,Hard,Movie,Naked Lunch,,
224,4,Hardest,Book,Demons,,X
225,1,Easy,Movie,The Purge,,
225,2,Medium,TV,Wednesday,,X
225,3,Hard,Movie,The Killing,,X
225,4,Hardest,Book,Notes from Underground,,X
226,1,Easy,Movie,Get Out,,X
226,2,Medium,TV,You,,X
226,3,Hard,Movie,Paths of Glory,,X
226,4,Hardest,Book,The Gambler,,X
227,1,Easy,Movie,A Quiet Place,,X
227,2,Medium,TV,Big Little Lies,,X
227,3,Hard,Movie,Lolita,,
227,4,Hardest,Book,Oblomov,,X
228,1,Easy,Movie,It,,
228,2,Medium,TV,Sharp Objects,,X
228,3,Hard,Movie,Days of Wine and Roses,,X
228,4,Hardest,Book,A Hero of Our Time,,
229,1,Easy,Movie,The Conjuring,,X
229,2,Medium,TV,The Handmaid's Tale,,
229,3,Hard,Movie,The Apartment,,
229,4,Hardest,Book,Eugene Onegin,,
230,1,Easy,Movie,Paranormal Activity,,
230,2,Medium,TV,Westworld,,
230,3,Hard,Movie,Sweet Smell of Success,,X
230,4,Hardest,Book,The Cherry Orchard,,X
231,1,Easy,Movie,Scream,,
231,2,Medium,TV,Black Mirror,,
231,3,Hard,Movie,A Face in the Crowd,,X
231,4,Hardest,Book,Uncle Vanya,,X
232,1,Easy,Movie,Halloween,,
232,2,Medium,TV,The Twilight Zone,,
232,3,Hard,Movie,The Hustler,,
232,4,Hardest,Book,Three Sisters,,
233,1,Easy,Movie,Friday the 13th,,
233,2,Medium,TV,Doctor Foster,,
233,3,Hard,Movie,Bullitt,,
233,4,Hardest,Book,The Seagull,,X
234,1,Easy,Movie,Nightmare on Elm Street,A Nightmare on Elm Street,
234,2,Medium,TV,Bodyguard,,X
234,3,Hard,Movie,The Italian Job,,
234,4,Hardest,Book,In Search of Lost Time,,X
235,1,Easy,Movie,Saw,,X
235,2,Medium,TV,Peep Show,,
235,3,Hard,Book,Tender Is the Night,,
235,4,Hardest,Book,Swann's Way,,X
236,1,Easy,Movie,The Exorcist,,
236,2,Medium,TV,The Inbetweeners,,
236,3,Hard,Book,This Side of Paradise,,X
236,4,Hardest,Book,Journey to the End of the Night,,
237,1,Easy,Movie,The Sixth Sense,,
237,2,Medium,TV,Gavin & Stacey,,
237,3,Hard,Book,The Sun Also Rises,,X
237,4,Hardest,Book,The Little Prince,,
238,1,Easy,Movie,Signs,,
238,2,Medium,TV,Blackadder,,
238,3,Hard,Book,A Farewell to Arms,,
238,4,Hardest,Book,The Alchemist,,X
239,1,Easy,Movie,War of the Worlds,,
239,2,Medium,TV,Only Fools and Horses,,
239,3,Hard,Book,For Whom the Bell Tolls,,
239,4,Hardest,Book,Perfume: The Story of a Murderer,Perfume,X
240,1,Easy,Movie,Cloverfield,,
240,2,Medium,TV,Dad's Army,,
240,3,Hard,Book,The Old Man and the Sea,,
240,4,Hardest,Book,Suite Française,Suite Francaise,X
241,1,Easy,Movie,Cast Away,,
241,2,Medium,TV,Keeping Up Appearances,,X
241,3,Hard,Book,As I Lay Dying,,X
241,4,Hardest,Book,The Elegance of the Hedgehog,,X
242,1,Easy,Movie,The Truman Show,,
242,2,Medium,TV,'Allo 'Allo!,,
242,3,Hard,Book,The Sound and the Fury,,X
242,4,Hardest,Book,All Quiet on the Western Front,,
243,1,Easy,Movie,Groundhog Day,,
243,2,Medium,TV,Yes Minister,,
243,3,Hard,Book,"Absalom, Absalom!",,X
243,4,Hardest,Book,The Reader,,X
244,1,Easy,Movie,Home Alone 3,,X
244,2,Medium,TV,The Good Life,,
244,3,Hard,Book,East of Eden,,
244,4,Hardest,Book,Measuring the World,,X
245,1,Easy,Movie,The Wedding Singer,,
245,2,Medium,TV,Last of the Summer Wine,,
245,3,Hard,Book,Of Human Bondage,,X
245,4,Hardest,Movie,Memento,,
246,1,Easy,Movie,50 First Dates,,
246,2,Medium,TV,Are You Being Served?,,
246,3,Hard,Book,The Remains of the Day,,
246,4,Hardest,Movie,Primer,,X
247,1,Easy,Movie,Big,,
247,2,Medium,TV,Mr. Bean,,
247,3,Hard,Book,Atonement,,
247,4,Hardest,Movie,Donnie Darko,,
248,1,Easy,Movie,Liar Liar,,X
248,2,Medium,TV,Monty Python's Flying Circus,Monty Python,
248,3,Hard,Book,On Chesil Beach,,
248,4,Hardest,Movie,The Butterfly Effect,,X
249,1,Easy,Movie,Bruce Almighty,,
249,2,Medium,TV,The Vicar of Dibley,,
249,3,Hard,Book,The Buried Giant,,X
249,4,Hardest,Movie,Enter the Void,,
250,1,Easy,Movie,The Mask,,
250,2,Medium,TV,Absolutely Fabulous,,
250,3,Hard,Book,An Artist of the Floating World,,X
250,4,Hardest,Movie,Irreversible,,X
251,1,Easy,Movie,Dumb and Dumber,,
251,2,Medium,TV,Miranda,,
251,3,Hard,Book,Middlemarch,,
251,4,Hardest,Movie,The Fountain,,X
252,1,Easy,Movie,Zoolander,,
252,2,Medium,TV,Not Going Out,,
252,3,Hard,Book,The Mill on the Floss,,
252,4,Hardest,Movie,Melancholia,,
253,1,Easy,Movie,Anchorman,,
253,2,Medium,TV,Outnumbered,,
253,3,Hard,Book,Silas Marner,,
253,4,Hardest,Movie,Antichrist,,X
254,1,Easy,Movie,Step Brothers,,X
254,2,Medium,TV,My Family,,
254,3,Hard,Book,Tess of the d'Urbervilles,,
254,4,Hardest,Movie,Nymphomaniac,,X
255,1,Easy,Movie,Talladega Nights,,
255,2,Medium,TV,Birds of a Feather,,
255,3,Hard,Book,Far from the Madding Crowd,,
255,4,Hardest,Movie,The House That Jack Built,,
256,1,Easy,Movie,Napoleon Dynamite,,
256,2,Medium,TV,Will & Grace,,
256,3,Hard,Book,Jude the Obscure,,
256,4,Hardest,Movie,Dogville,,
257,1,Easy,Movie,Superbad,,
257,2,Medium,TV,3rd Rock from the Sun,,
257,3,Hard,Book,The Return of the Native,,
257,4,Hardest,Movie,Breaking the Waves,,
258,1,Easy,Movie,The Hangover,,
258,2,Medium,TV,Roseanne,,
258,3,Hard,Book,North and South,,X
258,4,Hardest,Movie,Dancer in the Dark,,
259,1,Easy,Movie,Bridesmaids,,
259,2,Medium,TV,Married... with Children,,
259,3,Hard,Book,Cranford,,X
259,4,Hardest,Movie,Manderlay,,X
260,1,Easy,Movie,Meet the Parents,,
260,2,Medium,TV,The Golden Girls,,
260,3,Hard,Book,Vanity Fair,,
260,4,Hardest,Movie,Once Upon a Time in America,,
261,1,Easy,Movie,The Secret Life of Walter Mitty,,
261,2,Medium,TV,Happy Days,,
261,3,Hard,Book,Barchester Towers,,X
261,4,Hardest,Movie,Once Upon a Time in the West,,
262,1,Easy,Movie,Iron Man 2,,X
262,2,Medium,TV,Taxi,,
262,3,Hard,Book,The Warden,,X
262,4,Hardest,Movie,Heaven's Gate,,
263,1,Easy,Movie,Iron Man 3,,X
263,2,Medium,TV,The Cosby Show,,
263,3,Hard,Book,Bleak House,,
263,4,Hardest,Movie,The Last Temptation of Christ,,
264,1,Easy,Movie,Thor: Ragnarok,,X
264,2,Medium,TV,The Wonder Years,,
264,3,Hard,Book,Little Dorrit,,
264,4,Hardest,Movie,Silence,,
265,1,Easy,Movie,Thor: Love and Thunder,,X
265,2,Medium,TV,Boy Meets World,,X
265,3,Hard,Book,David Copperfield,,
265,4,Hardest,Movie,Kundun,,X
266,1,Easy,Movie,Guardians of the Galaxy Vol. 2,,X
266,2,Medium,TV,Saved by the Bell,,X
266,3,Hard,Book,Oliver Twist,,
266,4,Hardest,Book,Measure for Measure,,
267,1,Easy,Movie,Guardians of the Galaxy Vol. 3,,X
267,2,Medium,TV,Charmed,,
267,3,Hard,Book,Nicholas Nickleby,,
267,4,Hardest,Book,All's Well That Ends Well,,
268,1,Easy,Movie,Avengers: Age of Ultron,,X
268,2,Medium,TV,Buffy the Vampire Slayer,Buffy,
268,3,Hard,Book,The Pickwick Papers,,
268,4,Hardest,Book,Cymbeline,,X
269,1,Easy,Movie,Avengers: Infinity War,Infinity War,X
269,2,Medium,TV,Angel,,X
269,3,Hard,Book,A Tale of Two Cities,,
269,4,Hardest,Book,"Pericles, Prince of Tyre",Pericles,X
270,1,Easy,Movie,Captain America: Civil War,Civil War,X
270,2,Medium,TV,Supernatural,,
270,3,Hard,Book,Hard Times,,
270,4,Hardest,Book,Timon of Athens,,X
271,1,Easy,Movie,Captain America: The Winter Soldier,The Winter Soldier,X
271,2,Medium,TV,Smallville,,
271,3,Hard,Book,Our Mutual Friend,,X
271,4,Hardest,Book,"Henry IV, Part 1",,X
272,1,Easy,Movie,Ant-Man and the Wasp,,X
272,2,Medium,TV,Arrow,,X
272,3,Hard,Book,The Old Curiosity Shop,,
272,4,Hardest,Book,"Henry IV, Part 2",,X
273,1,Easy,Movie,Black Widow,,
273,2,Medium,TV,Gotham,,
273,3,Hard,Book,Emma,,
273,4,Hardest,Book,"Henry VI, Part 1",,X
274,1,Easy,Movie,Eternals,,
274,2,Medium,TV,Daredevil,,
274,3,Hard,Book,Sense and Sensibility,,
274,4,Hardest,Book,Richard II,,X
275,1,Easy,Movie,Shang-Chi and the Legend of the Ten Rings,Shang-Chi,X
275,2,Medium,TV,Jessica Jones,,
275,3,Hard,Book,Mansfield Park,,
275,4,Hardest,Book,King John,,X
276,1,Easy,Movie,Spider-Man: Homecoming,,
276,2,Medium,TV,The Boys,,
276,3,Hard,Book,Persuasion,,
276,4,Hardest,Book,Love's Labour's Lost,,
277,1,Easy,Movie,Spider-Man: Far From Home,,X
277,2,Medium,TV,Invincible,,X
277,3,Hard,Book,Northanger Abbey,,
277,4,Hardest,Book,The Two Gentlemen of Verona,,
278,1,Easy,Movie,Spider-Man: No Way Home,,X
278,2,Medium,TV,Watchmen,,
278,3,Hard,Book,Jane Eyre,,
278,4,Hardest,Book,The Merry Wives of Windsor,,
279,1,Easy,Movie,Batman Returns,,X
279,2,Medium,TV,Chernobyl,,X
279,3,Hard,Book,Villette,,X
279,4,Hardest,Book,The Taming of the Shrew,,
280,1,Easy,Movie,Batman Forever,,X
280,2,Medium,TV,Band of Brothers,,
280,3,Hard,Book,The Tenant of Wildfell Hall,,X
280,4,Hardest,Book,Troilus and Cressida,,X
281,1,Easy,Movie,Batman & Robin,,
281,2,Medium,TV,The Pacific,,X
281,3,Hard,Book,Agnes Grey,,
281,4,Hardest,Book,Gilgamesh,The Epic of Gilgamesh,X
282,1,Easy,Movie,X2,X-Men 2,X
282,2,Medium,TV,Rome,,
282,3,Hard,Book,Moll Flanders,,
282,4,Hardest,Book,The Mahabharata,,X
283,1,Easy,Movie,X-Men: Days of Future Past,,X
283,2,Medium,TV,Spartacus,,
283,3,Hard,Book,Tristram Shandy,,X
283,4,Hardest,Book,The Ramayana,,X
284,1,Easy,Movie,X-Men: Apocalypse,,X
284,2,Medium,TV,Vikings,,X
284,3,Hard,Book,Clarissa,,X
284,4,Hardest,Book,Njál's Saga,Njals Saga,X
285,1,Easy,Movie,Logan,,
285,2,Medium,TV,The Last Kingdom,,
285,3,Hard,Book,Pamela,,X
285,4,Hardest,Book,The Kalevala,,X
286,1,Easy,Movie,Deadpool 2,,X
286,2,Medium,TV,Outlander,,
286,3,Hard,Book,Tom Jones,,
286,4,Hardest,Book,The Bacchae,,X
287,1,Easy,Movie,The Incredibles 2,Incredibles 2,X
287,2,Medium,TV,Bridgerton,,
287,3,Hard,Book,Candide,,X
287,4,Hardest,Book,Prometheus Bound,,X
288,1,Easy,Movie,Cars 2,,X
288,2,Medium,TV,Poldark,,
288,3,Hard,Book,Don Quixote,,
288,4,Hardest,Book,Lysistrata,,X
289,1,Easy,Movie,Cars 3,,X
289,2,Medium,TV,Victoria,,
289,3,Hard,Book,The Canterbury Tales,,
289,4,Hardest,Book,The Frogs,,X
290,1,Easy,Movie,Monsters University,,
290,2,Medium,TV,The Tudors,,
290,3,Hard,Book,Paradise Lost,,
290,4,Hardest,Book,The Clouds,,X
291,1,Easy,Movie,Inside Out 2,,X
291,2,Medium,TV,Wolf Hall,,
291,3,Hard,Book,The Divine Comedy,Dante's Inferno,
291,4,Hardest,Book,Electra,,X
292,1,Easy,Movie,The Good Dinosaur,,
292,2,Medium,Book,Little Women,,
292,3,Hard,Book,Beowulf,,
292,4,Hardest,TV,Roots,,
293,1,Easy,Movie,Planes,,X
293,2,Medium,Book,Anne of Green Gables,,
293,3,Hard,Book,The Odyssey,,
293,4,Hardest,TV,John Adams,,X
294,1,Easy,Movie,Ralph Breaks the Internet,,X
294,2,Medium,Book,Black Beauty,,
294,3,Hard,Book,The Iliad,,
294,4,Hardest,TV,Show Me a Hero,,X
295,1,Easy,Movie,Moana 2,,X
295,2,Medium,Book,The Secret Garden,,
295,3,Hard,Book,The Aeneid,,X
295,4,Hardest,TV,Mrs. America,Mrs America,X
296,1,Easy,Movie,Lightyear,,
296,2,Medium,Book,Heidi,,
296,3,Hard,Book,Metamorphoses,,X
296,4,Hardest,TV,The Plot Against America,,X
297,1,Easy,Movie,Raya and the Last Dragon,,X
297,2,Medium,Book,Swiss Family Robinson,,
297,3,Hard,Book,Oedipus Rex,,X
297,4,Hardest,TV,The Night Of,,X
298,1,Easy,Movie,Strange World,,X
298,2,Medium,Book,Treasure Island,,
298,3,Hard,Book,Antigone,,X
298,4,Hardest,TV,When They See Us,,X
299,1,Easy,Movie,Migration,,X
299,2,Medium,Book,Robinson Crusoe,,
299,3,Hard,Book,Medea,,X
299,4,Hardest,TV,The Underground Railroad,,
300,1,Easy,Movie,The Wild Robot,,
300,2,Medium,Book,Gulliver's Travels,,
300,3,Hard,Book,The Trial,,X
300,4,Hardest,TV,Fosse/Verdon,,X
301,1,Easy,Movie,Star Wars: Attack of the Clones,,X
301,2,Medium,Book,Around the World in Eighty Days,,
301,3,Hard,Book,The Metamorphosis,,X
301,4,Hardest,Book,Things Fall Apart,,X
302,1,Easy,Movie,Star Wars: Revenge of the Sith,,X
302,2,Medium,Book,Twenty Thousand Leagues Under the Sea,,
302,3,Hard,Book,Crime and Punishment,,X
302,4,Hardest,Book,No Longer at Ease,,X
303,1,Easy,Movie,Star Wars: The Last Jedi,,X
303,2,Medium,Book,Journey to the Center of the Earth,,
303,3,Hard,Book,The Brothers Karamazov,,
303,4,Hardest,Book,A Grain of Wheat,,X
304,1,Easy,Movie,Star Wars: The Rise of Skywalker,,X
304,2,Medium,Book,The Time Machine,,
304,3,Hard,Book,War and Peace,,
304,4,Hardest,Book,Petals of Blood,,X
305,1,Easy,Movie,Rogue One: A Star Wars Story,Rogue One,X
305,2,Medium,Book,The Invisible Man,,
305,3,Hard,Book,Anna Karenina,,
305,4,Hardest,Book,The Famished Road,,X
306,1,Easy,Movie,Solo: A Star Wars Story,Solo,X
306,2,Medium,Book,The War of the Worlds,,
306,3,Hard,Book,One Day in the Life of Ivan Denisovich,,X
306,4,Hardest,Book,Half of a Yellow Sun,,X
307,1,Easy,Movie,Ready Player One,,
307,2,Medium,Book,Dr. Jekyll and Mr. Hyde,Jekyll and Hyde,
307,3,Hard,Book,The Master and Margarita,,X
307,4,Hardest,Book,Purple Hibiscus,,
